MQ135,MQ2,MQ4,MQ7,Temperature,Humidity,class
9.89,20.03,27.87,12.08,31.1,71.9,1
9.63,19.51,26.53,11.71,31.1,72.1,1
9.7,19.42,26.67,11.62,31.1,72.2,1
9.78,19.59,27.26,11.66,31.1,72.1,1
9.78,19.25,27.41,11.52,31.1,72.3,1
9.93,19.85,28.34,10.91,31.1,72.2,1
9.78,19.94,27.41,11.48,31.1,70.8,1
9.59,19.34,27.56,12.08,31.1,67,1
9.66,19.17,26.53,11.8,31.1,62.8,1
9.82,19.68,27.87,10.61,31.2,65.8,1
9.86,19.77,28.03,11.04,31.2,67.2,1
9.55,18.84,26.1,9.81,31.2,67.3,1
9.59,18.76,26.53,9.85,31.2,65.9,1
9.7,18.84,27.11,9.59,31.2,65.9,1
9.7,18.52,27.56,9.85,31.2,65.7,1
9.66,18.6,26.39,9.33,31.2,64.5,1
9.59,18.2,25.02,9.62,31.2,66,1
9.55,18.05,25.02,9.66,31.2,65.9,1
9.63,17.75,28.03,9.55,31.2,65.7,1
9.59,18.05,25.96,9.36,31.2,66,1
9.59,17.97,27.41,9.36,31.3,64.9,1
9.59,17.67,25.82,9.22,31.3,66.5,1
9.4,17.37,24.76,8.97,31.3,67.6,1
9.44,17.23,26.24,9.11,31.3,68.1,1
9.51,17.23,26.24,9.22,31.3,68.6,1
9.4,16.94,26.53,8.93,31.3,69,1
9.44,16.87,26.82,9.01,31.3,69.5,1
9.55,17.01,26.53,9.04,31.3,69.1,1
9.48,17.01,26.82,8.86,31.3,67.7,1
9.37,16.59,26.39,8.8,31.3,68.1,1
9.22,16.12,26.39,8.8,31.4,68.5,1
9.15,16.12,25.55,8.8,31.3,68.2,1
9.18,16.05,26.1,8.59,31.3,67.3,1
9.18,15.85,25.15,8.86,31.3,67.3,1
9.08,15.85,25.55,8.59,31.3,66.5,1
9.11,15.79,25.15,8.56,31.3,64.3,1
9.29,16.05,24.5,8.73,31.4,63.7,1
9.22,15.98,26.1,8.73,31.4,64.9,1
9.15,15.46,26.24,8.9,31.3,63.8,1
9.18,15.92,24.63,8.49,31.4,65.1,1
9.01,14.85,24.37,8.8,31.4,66,1
9.11,14.91,24.5,8.59,31.4,64.9,1
8.97,14.79,24.89,9.04,31.4,66,1
9.15,14.97,25.55,9.04,31.4,67,1
9.18,15.15,26.39,8.9,31.4,67.2,1
9.18,15.03,26.67,8.8,31.4,64.1,1
9.08,14.49,25.69,8.83,31.4,65.2,1
9.01,14.79,24.63,8.73,31.4,64.2,1
8.97,14.2,24.37,8.9,31.4,62.5,1
8.94,14.43,24.25,8.93,31.4,63.2,1
8.87,14.26,24,8.86,31.5,61.4,1
8.76,13.92,24.37,8.69,31.5,63.2,1
8.94,14.37,25.15,8.69,31.5,65,1
8.83,13.92,24.25,8.62,31.5,60.3,1
9.01,14.03,24.89,8.46,31.5,62.7,1
8.9,13.92,25.96,8.76,31.5,64.8,1
8.83,13.64,25.02,8.8,31.5,65.9,1
8.63,13.11,23.75,8.8,31.5,66.4,1
8.73,13.16,23.75,8.62,31.5,66.8,1
8.56,12.85,23.63,8.66,31.5,66.8,1
8.56,12.8,23.04,8.36,31.5,67.2,1
8.59,12.85,23.88,8.66,31.5,67.7,1
8.52,12.55,26.96,8.66,31.5,68.1,1
8.52,12.59,24,8.26,31.5,68.1,1
8.66,12.85,23.88,8.23,31.5,68.1,1
8.59,12.64,23.63,8.36,31.6,65.6,1
8.42,12.25,23.04,8.62,31.5,66.7,1
8.39,12.11,22.7,8.56,31.6,67.8,1
8.39,12.11,23.39,9.4,31.6,68.1,1
8.29,12.06,23.04,9.51,31.6,68,1
8.26,12.01,22.92,9.55,31.6,65.4,1
8.42,12.2,23.88,9.4,31.6,65.7,1
8.36,12.15,23.27,9.29,31.6,66.5,1
8.29,11.96,23.39,9.62,31.6,64.1,1
8.29,11.87,22.81,9.55,31.6,65.7,1
8.29,11.92,24.5,9.55,31.6,64.8,1
8.2,11.5,22.7,9.48,31.6,65.3,1
8.2,11.59,25.55,9.66,31.6,65.7,1
8.07,11.28,23.39,9.59,31.6,66.5,1
8.16,11.55,23.04,9.66,31.6,65.8,1
8.07,11.41,23.04,9.66,31.6,64.5,1
8.23,11.41,24,9.33,31.6,64.4,1
8.16,11.41,23.51,9.44,31.6,65.1,1
8.16,11.32,22.7,9.51,31.6,66.1,1
8.2,11.41,24.76,9.74,31.7,66.2,1
8.2,11.19,22.81,9.44,31.6,65.9,1
8,10.84,22.36,9.51,31.7,66.6,1
7.91,10.55,22.03,9.59,31.7,66.9,1
8,10.76,21.81,9.66,31.7,67.4,1
7.88,10.55,21.81,9.62,31.6,66.6,1
7.85,10.68,21.6,9.44,31.7,65,1
7.81,10.27,21.81,9.7,31.7,65.2,1
7.78,10.51,21.71,9.62,31.7,66.4,1
7.91,10.63,22.7,9.66,31.6,63.7,1
7.91,10.51,22.25,9.48,31.7,65.9,1
7.78,10.47,21.29,9.48,31.7,66.3,1
7.88,10.59,21.92,9.7,31.7,64,1
7.78,10.55,21.49,9.48,31.7,63.6,1
7.75,10.07,21.39,9.89,31.7,61.7,1
7.78,10.35,21.49,9.97,31.7,63.6,1
7.81,10.19,21.71,9.81,31.7,64.6,1
7.72,10.35,21.18,9.59,31.7,62.5,1
7.75,9.99,21.71,9.59,31.7,64.1,1
7.85,10.07,21.6,9.74,31.8,63.7,1
7.81,9.99,22.03,9.85,31.7,63.7,1
7.78,10.19,21.29,9.89,31.7,63.2,1
7.66,9.64,20.29,9.97,31.7,63.5,1
7.57,9.49,20.38,9.81,31.8,64,1
7.6,9.38,20.98,9.89,31.7,62.9,1
7.69,9.53,21.29,9.93,31.8,64.6,1
7.72,9.49,20.78,9.85,31.8,64.9,1
